Journal Acronym,Alt Acronym 1,Alt Acronym 2,Journal Acronym2
ABAC,ABAC,ABAC,ABAC
FSH,FSH,FSH,FSH
ACEM,ACEM,ACEM,ACEM
ACFI,ACFI,ACFI,ACFI
APR,APR,APR,APR
ACEN,ACEP,ACE6,ACEN
AAS,AAS,AAS,AAS
AAR,AAR,AAR,AAR
AYC,AYC,AYC,AYC
AYA,AYA,AYA,AYA
AYB,AYB,AYB,AYB
AYD,AYD,AYD,AYD
AYF,AYF2,AYF2,AYF
ACGS,ACGS,ACGS,ACGS
ANE,ANE,ANE,ANE
AOGS,AOGS,AOGS,AOGS
AOS,AOS,AOS,AOS
APA,APA,APA,APA
APHA,APHA,APHA,APHA
ACPS,ACP,ACP,ACPS
AZO,AZO,AZO,AZO
AMS2,AMS2,AMS2,AMS2
ADD,ADD,ADD,ADD
ADB,ADB,ADB,ADB
ADSP,ADSP,ADSP,ADSP
AELM,2707,E707,AELM
AENM,2528,2528,AENM
ADEM,2266,2266,ADEM
ADFM,2126,2126,ADFM
AHM,2087,E087,AHM
ADMA,2089,2089,ADMA
ADMI,2706,E706,ADMI
ADMT,2767,E767,ADMT
ADOM,2298,E298,ADOM
ADVS,2749,E749,ADVS
ADSC,2258,2258,ADSC
ADV,ADV,ADV,ADV
ARBE,ARBE,ARBE,ARBE
ARBP,ARBP,ARBP,ARBP
AFDR,AFDR,AFDR,AFDR
AJE,AJE,AJE,AJE
AJB2,AJB2,AJB2,AJB2
AB,AB,AB,AB
ACEL,ACEL,ACEL,ACEL
AGR,AGR,AGR,AGR
AFE,AFE,AFE,AFE
AGEC,AGEC,AGEC,AGEC
AIC,AIC,AIC,AIC
ADAW,ADAW,ADAW,ADAW
ACER,ACER,ACER,ACER
APT,APT,APT,APT
ALL,ALL,ALL,ALL
ALT,ALT,ALT,ALT
AMAN,AMAN,AMAN,AMAN
ABLJ,ABLJ,ABLJ,ABLJ
AMET,AMET,AMET,AMET
AJCP,AJCP,AJCP,AJCP
AJH,AJH,AJH,AJH
AJHB,AJHB,AJHB,AJHB
AJIM,AJIM,AJIM,AJIM
AJMG.A,AJMG,AJMG,AJMG.A
AJMG.B,AJMG.B,AJMG.B,AJMG.B
AJMG.C,AJMG.C,AJMG.C,AJMG.C
AJPA,AJPA,AJPA,AJPA
AJPS,AJPS,AJPS,AJPS
AJP,AJP,AJP,AJP
AJI,AJI,AJI,AJI
AJT,AJT,AJT,AJT
ANAE,ANAE,ANAE,ANAE
ASAP,ASAP,ASAP,ASAP
PHIB,PHIB,PHIB,PHIB
AHE,AHE,AHE,AHE
ASE,ASE,ASE,ASE
AND,AND,AND,AND
ANDR,ANDR,ANDR,ANDR
ANGE,2001,2001,ANGE
ANIE,2002,2002,ANIE
ACV,ACV,ACV,ACV
AGE,AGE,AGE,AGE
ASJ,ASJ,ASJ,ASJ
ANDP,2257,2257,ANDP
NAPA,AAP,AAP,NAPA
AAB,AAB,AAB,AAB
