Journal,Journal Code
Abacus,ABAC
Academic Emergency Medicine,ACEM
Accounting & Finance,ACFI
Accounting Perspectives,APR
Acta Anaesthesiologica Scandinavica,AAS
Acta Crystallographica Section A: Foundations and Advances,AYA
"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",AYB
Acta Crystallographica Section C: Structural Chemistry,AYC
Acta Crystallographica Section D: Structural Biology,AYD
Acta Geologica Sinica (English Edition),ACGS
Acta Neurologica Scandinavica,ANE
Acta Ophthalmologica,AOS
Acta Paediatrica: Nurturing the Child,APA
Acta Physiologica,APHA
Acta Psychiatrica Scandinavica,ACPS
Acta Zoologica,AZO
Addiction,ADD
Addiction Biology,ADB
Adultspan Journal,ADSP
Advanced Control for Applications,ADC2
Advanced Electronic Materials,AELM
Advanced Energy Materials,AENM
Advanced Engineering Materials,ADEM
Advanced Functional Materials,ADFM
Advanced Healthcare Materials,AHM
Advanced Materials,ADMA
Advanced Materials Interfaces,ADMI
Advanced Materials Technologies,ADMT
Advanced Optical Materials,ADOM
Advanced Quantum Technologies,QUTE
Advanced Sustainable Systems,ADSU
Advanced Synthesis & Catalysis,ADSC
Advanced Theory and Simulations,ADTS
Advanced Therapeutics,ADTP
Advances in Cell and Gene Therapy,ACG2
AEM Education and Training,AET2
African Development Review,AFDR
African Journal of Ecology,AJE
Aggressive Behavior,AB
Agribusiness,AGR
Agricultural and Forest Entomology,AFE
Agricultural Economics,AGEC
AIChE Journal,AIC
Alcoholism: Clinical & Experimental Research,ACER
Alimentary Pharmacology & Therapeutics,APT
Allergy,ALL
Alzheimer's & Dementia,ALZ
American Anthropologist,AMAN
American Business Law Journal,ABLJ
American Ethnologist,AMET
American Journal of Agricultural Economics,AJAE
American Journal of Botany,AJB2
American Journal of Community Psychology,AJCP
American Journal of Hematology,AJH
American Journal of Human Biology,AJHB
American Journal of Industrial Medicine,AJIM
American Journal of Medical Genetics Part A,AJMG
American Journal of Medical Genetics Part B:Neuropsychiatric Genetics,AJMB
American Journal of Medical Genetics Part C:Seminars in Medical Genetics,AJMC
American Journal of Physical Anthropology,AJPA
American Journal of Political Science,AJPS
American Journal of Primatology,AJP
American Journal of Reproductive Immunology,AJI
American Journal of Transplantation,AJT
Anaesthesia,ANAE
Anaesthesia Reports,ANR3
Analyses of Social Issues and Public Policy,ASAP
Analysis & Sensing,ANSE
Analytic Philosophy,PHIB
"Anatomia, Histologia, Embryologia",AHE
Anatomical Sciences Education,ASE
Andrologia,AND
Andrology,ANDR
Angewandte Chemie,ANGE
Angewandte Chemie International Edition,ANIE
Animal Conservation,ACV
Animal Genetics,AGE
Animal Science Journal,ASJ
Annalen der Physik,ANDP
Annals of Anthropological Practice,NAPA
Annals of Applied Biology,AAB
Annals of Human Genetics,AHG
Annals of Neurology,ANA
Annals of Public and Cooperative Economics,APCE
Annals of the New York Academy of Sciences,NYAS
Anthropology & Education Quarterly,AEQ
Anthropology and Humanism,ANHU
Anthropology of Consciousness,ANOC
Anthropology of Work Review,AWR
Anthropology Today,ANTH
Antipode,ANTI
ANZ Journal of Surgery,ANS
AORN Journal,AORN
APMIS,APM
Applied Cognitive Psychology,ACP
Applied Economic Perspectives and Policy,AEPP
Applied Organometallic Chemistry,AOC
Applied Psychology,APPS
Applied Psychology: Health and Well-Being,APHW
Applied Stochastic Models in Business and Industry,ASMB
Applied Vegetation Science,AVSC
Aquaculture Nutrition,ANU
Aquaculture Research,ARE
Aquatic Conservation: Marine and Freshwater Ecosystems,AQC
Arabian Archaeology and Epigraphy,AAE
Archaeological Prospection,ARP
Archaeology in Oceania,ARCO
Archaeometry,ARCM
Archeological Papers of the American Anthropological Association,APAA
Archiv der Pharmazie,ARDP
Archives of Insect Biochemistry and Physiology,ARCH
Area,AREA
Art History,AHIS
Arthritis & Rheumatology,ART
Arthritis Care & Research,ACR
Artificial Organs,AOR
Asia Pacific Journal of Human Resources,APHR
Asia Pacific Viewpoint,APV
Asian Economic Journal,ASEJ
Asian Economic Policy Review,AEPR
Asian Journal of Control,ASJC
Asian Journal of Endoscopic Surgery,ASES
Asian Journal of Organic Chemistry,AJOC
Asian Journal of Social Psychology,AJSP
Asian Politics and Policy,ASPP
Asian Social Work and Policy Review,ASWP
Asian-Pacific Economic Literature,APEL
Asia-Pacific Journal of Chemical Engineering,APJ
Asia-Pacific Journal of Clinical Oncology,AJCO
Asia-Pacific Journal of Financial Studies,AJFS
Asia-Pacific Psychiatry,APPY
Astronomische Nachrichten,ASNA
Austral Ecology,AEC
Austral Entomology,AEN
Australasian Journal of Dermatology,AJD
Australasian Journal of Ultrasound in Medicine,AJUM
Australasian Journal on Ageing,AJAG
Australian & New Zealand Journal of Statistics,ANZS
Australian Accounting Review,AUAR
Australian and New Zealand Journal of Family Therapy,ANZF
Australian and New Zealand Journal of Obstetrics and Gynaecology,AJO
Australian Dental Journal,ADJ
Australian Economic History Review,AEHR
Australian Economic Papers,AEPA
Australian Endodontic Journal,AEJ
Australian Journal of Grape and Wine Research,AJGW
Australian Journal of Politics and History,AJPH
Australian Journal of Public Administration,AUPA
Australian Journal of Rural Health,AJR
Australian Journal of Social Issues,AJS4
Australian Occupational Therapy Journal,AOT
Australian Veterinary Journal,AVJ
Autism Research,AUR
AWWA Water Science,AWS2
Basic & Clinical Pharmacology & Toxicology,BCPT
Basin Research,BRE
Batteries & Supercaps,BATT
Behavioral Interventions,BIN
Behavioral Sciences & the Law,BSL
Berichte zur Wissenschaftsgeschichte,BEWI
Biochemistry and Molecular Biology Education,BMB
Bioelectromagnetics,BEM
BioEssays,BIES
Bioethics,BIOE
BioFactors,BIOF
"Biofuels, Bioproducts and Biorefining",BBB
Biological Reviews,BRV
Biology of the Cell,BOC
Biomedical Chromatography,BMC
Biometrical Journal,BIMJ
Biometrics,BIOM
Biopharmaceutics & Drug Disposition,BDD
Biopolymers,BIP
Biotechnology and Applied Biochemistry,BAB
Biotechnology and Bioengineering,BIT
Biotechnology Journal,BIOT
Biotechnology Progress,BTPR
Biotropica,BTP
Bipolar Disorders,BDI
Birth,BIRT
Birth Defects Research,BDR
BJOG: An International Journal of Obstetrics and Gynaecology,BJO
BJU International,BJU
British Educational Research Journal,BERJ
British Journal of Clinical Pharmacology,BCP
British Journal of Clinical Psychology,BJC
British Journal of Dermatology,BJD
British Journal of Developmental Psychology,BJDP
British Journal of Education Psychology,BJEP
British Journal of Educational Technology,BJET
British Journal of Haematology,BJH
British Journal of Health Psychology,BJHP
British Journal of Industrial Relations,BJIR
British Journal of Learning Disabilities,BLD
British Journal of Management,BJOM
British Journal of Mathematical and Statistical Psychology,BMSP
British Journal of Pharmacology,BPH
British Journal of Psychology,BJOP
British Journal of Psychotherapy,BJP
British Journal of Social Psychology,BJSO
British Journal of Special Education,BJSP
Bulletin of Economic Research,BOER
Bulletin of Latin American Research,BLAR
Bulletin of the Korean Chemical Society,BKCS
Bulletin of the London Mathematical Society,BLMS
Business and Society Review,BASR
Business Ethics: A European Review,BEER
Business Strategy and Development,BSD2
Business Strategy and the Environment,BSE
Canadian Journal of Administrative SciencesRevue Canadienne des Sciences de l'Administration,CJAS
Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie,CJAG
Canadian Journal of Economics/Revue canadienne d'économique,CAJE
Canadian Public Administration/AdministrationPublique du Canada,CAPA
Canadian Review of Sociology/Revue canadienne de sociologie,CARS
Cancer,CNCR
Cancer Cytopathology,CNCY
Catheterization and Cardiovascular Interventions,CCD
Cell Biochemistry & Function,CBF
Cell Biology International,CBIN
Cellular Microbiology,CMI
Centaurus,CNT
Cereal Chemistry,CCHE
ChemBioChem,CBIC
ChemBioEng Reviews,CBEN
