Journal Code,Journal Group code,Journal Family Code,Journal Title,Status,Global Subject Category,Business Unit,ISSN code,ISBN,JPS Code,E-Journal Code,Pub Source,Product Line(E),Product Line(J),Subject Code 1,Subject Code 2,Global Subject Category.1,New Office,Ownership,Owned by,Society,Soc. Acronym,Editor Name
AAB,AAB,,Annals of Applied Biology,Z-To be Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AABB,AABB,AABB,AABB Newsletter,P-Current publication,STMS Other,,,,,,,,,,,,,N-Society Owned,,,,
AAB2,AAB,,Annals of Applied Biology (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AAC2,AAC2,AAC2,Aging and Cancer,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AAE,AAE,,Arabian Archaeology and Epigraphy,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
AAE2,AAE,,Arabian Archaeology and Epigraphy (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
AAG,AAG,,Astronomy & Geophysics,S-Sold/InterCo Transfr,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
AAG2,AAG,,Astronomy & Geophysics (Electronic),S-Sold/InterCo Transfr,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
AAH,AAH,,Journal of Aquatic Animal Health,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AAH2,AAH,,Journal of Aquatic Animal Health,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AAP,AAP,,Autonomic & Autacoid Pharmacology,C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AAPE,AAPE,AAPE,Annals of Periodontology,C-Ceased,STMS Other,,,,,,,,,,,,,N-Society Owned,,,,
AAP2,AAP,,Autonomic & Autacoid Pharmacology,C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AAP3,AAPE,AAPE,Annals of Periodontology,C-Ceased,STMS Other,,,,,,,,,,,,,N-Society Owned,,,,
AAR,AAR,,Acta Archaeologica,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AAR2,AAR,,Acta Archaeologica (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AAS,AAS,,Acta Anaesthesiologica Scandinavica,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AAS2,AAS,,Acta Anaesthesiologica Scandinavica (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AB,AB,,Aggressive Behavior,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ABAC,ABAC,,Abacus,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ABA3,ABAC,,Abacus (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ABBS,ABBS,,Acta Biochimica et Biophysica Sinica,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ABB3,ABBS,,Acta Biochimica et Biophysica Sinica (Electronic),S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ABC,ABC,,About Campus,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ABC2,ABC,,About Campus (Electronic),S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ABHL,ABHL,HIST,Annual Bulletin of Historical Literature,C-Ceased,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
