Journal Code,"Online
ISSN",Journal Title,Full Article Publication Charge,Unnamed: 4,Unnamed: 5,Discounted APC for Society Members,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,USD $,GBP £,EUR €,USD $,GBP £,EUR €,,
ABAC,1467-6281,Abacus,2500,1667,2083,,,,,ABAC
ACEM,1553-2712,Academic Emergency Medicine,3000,2000,2500,,,,,ACEM
ACFI,1467-629X,Accounting & Finance,3000,2000,2500,,,,,ACFI
APR,1911-3838,Accounting Perspectives,2500,1650,2100,,,,,APR
AAS,1399-6576,Acta Anaesthesiologica Scandinavica,3800,2533,3167,,,,,AAS
AYA,2053-2733,Acta Crystallographica Section A: Foundations and Advances,3750,2950,3400,,,,,AYA
AYB,2052-5206,"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",3750,2950,3400,,,,,AYB
AYC,2053-2296,Acta Crystallographica Section C: Structural Chemistry,3600,2692,3047,,,,,AYC
AYD,2059-7983,Acta Crystallographica Section D: Structural Biology,3850,3000,3450,,,,,AYD
ACGS,1755-6724,Acta Geologica Sinica (English Edition),3000,2000,2500,,,,,ACGS
ANE,1600-0404,Acta Neurologica Scandinavica,4000,2650,3350,,,,,ANE
AOS,1755-3768,Acta Ophthalmologica,3950,2650,3300,1500,1000,1250,,AOS
APA,1651-2227,Acta Paediatrica: Nurturing the Child,3300,2200,2750,,,,,APA
APHA,1748-1716,Acta Physiologica,3700,2467,3083,,,,,APHA
ACPS,1600-0447,Acta Psychiatrica Scandinavica,3600,2400,3000,,,,,ACPS
AZO,1463-6395,Acta Zoologica,3000,2000,2500,,,,,AZO
ADD,1360-0443,Addiction,3700,2550,3150,,,,,ADD
ADB,1369-1600,Addiction Biology,3700,2450,3100,,,,,ADB
ADSP,2161-0029,Adultspan Journal,2500,1650,2100,,,,,ADSP
E771,2701-0198,Advanced Biology,3800,2550,3150,,,,,E771
ADC2,2578-0727,Advanced Control for Applications,2500,1650,2100,,,,,ADC2
AELM,2199-160X,Advanced Electronic Materials,4200,2800,3500,,,,,AELM
AENM,1614-6840,Advanced Energy Materials,5000,3333,4167,,,,,AENM
ADEM,1527-2648,Advanced Engineering Materials,4100,2750,3400,,,,,ADEM
ADFM,1616-3028,Advanced Functional Materials,5000,3750,4375,,,,,ADFM
AHM,2192-2659,Advanced Healthcare Materials,4200,2800,3500,,,,,AHM
ADMA,1521-4095,Advanced Materials,5000,3750,4375,,,,,ADMA
ADMI,2196-7350,Advanced Materials Interfaces,4200,2800,3500,,,,,ADMI
ADMT,2365-709X,Advanced Materials Technologies,4200,2800,3500,,,,,ADMT
ADOM,2195-1071,Advanced Optical Materials,4200,2800,3500,,,,,ADOM
QUTE,2511-9044,Advanced Quantum Technologies,3800,2550,3150,,,,,QUTE
ADSU,2366-7486,Advanced Sustainable Systems,3800,2550,3150,,,,,ADSU
ADSC,1615-4169,Advanced Synthesis & Catalysis,4000,2650,3350,,,,,ADSC
ADTS,2513-0390,Advanced Theory and Simulations,3800,2550,3150,,,,,ADTS
ADTP,2366-3987,Advanced Therapeutics,3800,2550,3150,,,,,ADTP
ACG2,2573-8461,Advances in Cell and Gene Therapy,2700,2080,2478,,,,,ACG2
AID2,2351-9800,Advances in Digestive Medicine,2000,1600,1800,,,,,AID2
AET2,2472-5390,AEM Education and Training,3000,2000,2500,,,,,AET2
AFDR,1467-8268,African Development Review,3300,2200,2750,,,,,AFDR
AJE,1365-2028,African Journal of Ecology,2700,1800,2250,,,,,AJE
AB,1098-2337,Aggressive Behavior,3300,2200,2750,,,,,AB
AGR,1520-6297,Agribusiness,2900,1900,2450,,,,,AGR
AFE,1461-9563,Agricultural and Forest Entomology,3600,2400,3000,,,,,AFE
AGEC,1574-0862,Agricultural Economics,3300,2200,2750,,,,,AGEC
AGJ2,1435-0645,Agronomy Journal,1000,800,900,,,,,AGJ2
AIC,1547-5905,AIChE Journal,4200,2800,3500,,,,,AIC
ACER,1530-0277,Alcoholism: Clinical & Experimental Research,3465,2300,2900,,,,,ACER
APT,1365-2036,Alimentary Pharmacology & Therapeutics,4500,3000,3750,,,,,APT
ALL,1398-9995,Allergy,4150,3100,3650,,,,,ALL
ALZ,1552-5279,Alzheimer's & Dementia,3000,2000,2500,,,,,ALZ
AMAN,1548-1433,American Anthropologist,3000,2000,2500,,,,,AMAN
ABLJ,1744-1714,American Business Law Journal,2500,1650,2100,,,,,ABLJ
AMET,1548-1425,American Ethnologist,3000,2000,2500,,,,,AMET
AJAE,1467-8276,American Journal of Agricultural Economics,3300,2200,2750,,,,,AJAE
AJB2,1537-2197,American Journal of Botany,1650,1250,1500,825,625,750,,AJB2
AJCP,1573-2770,American Journal of Community Psychology,2750,1800,2300,,,,,AJCP
AJH,1096-8652,American Journal of Hematology,4500,3000,3750,,,,,AJH
AJHB,1520-6300,American Journal of Human Biology,3600,2400,3000,,,,,AJHB
AJIM,1097-0274,American Journal of Industrial Medicine,3800,2533,3167,,,,,AJIM
AJMG,1552-4833,American Journal of Medical Genetics Part A,3600,2400,3000,,,,,AJMG
AJMB,1552-485X,American Journal of Medical Genetics Part B:Neuropsychiatric Genetics,3000,2000,2500,,,,,AJMB
AJMC,1552-4876,American Journal of Medical Genetics Part C:Seminars in Medical Genetics,3000,2000,2500,,,,,AJMC
AJPA,1096-8644,American Journal of Physical Anthropology,4200,2800,3500,,,,,AJPA
AJPS,1540-5907,American Journal of Political Science,3650,2450,3050,,,,,AJPS
AJP,1098-2345,American Journal of Primatology,3700,2467,3083,,,,,AJP
AJI,1600-0897,American Journal of Reproductive Immunology,3600,2400,3000,,,,,AJI
AJT,1600-6143,American Journal of Transplantation,4300,3010,3655,,,,,AJT
ANAE,1365-2044,Anaesthesia,3950,2650,3300,,,,,ANAE
ANR3,2637-3726,Anaesthesia Reports,1100,800,950,,,,,ANR3
ASAP,1530-2415,Analyses of Social Issues and Public Policy,3000,2000,2500,,,,,ASAP
ANSE,2629-2742,Analysis & Sensing,3500,2600,2900,,,,,ANSE
PHIB,2153-960X,Analytic Philosophy,2500,1667,2083,,,,,PHIB
AHE,1439-0264,"Anatomia, Histologia, Embryologia",2900,1933,2417,,,,,AHE
ASE,1935-9780,Anatomical Sciences Education,3000,2000,2500,,,,,ASE
AND,1439-0272,Andrologia,3300,2200,2750,,,,,AND
ANDR,2047-2927,Andrology,3000,2000,2500,,,,,ANDR
ANGE,1521-3757,Angewandte Chemie,5000,3350,4000,,,,,ANGE
ANIE,1521-3773,Angewandte Chemie International Edition,5000,3350,4000,,,,,ANIE
ACV,1469-1795,Animal Conservation,3700,2450,3100,,,,,ACV
AGE,1365-2052,Animal Genetics,3000,2000,2500,,,,,AGE
ASJ,1740-0929,Animal Science Journal,4000,2650,3350,,,,,ASJ
ANDP,1521-3889,Annalen der Physik,3800,2550,3150,,,,,ANDP
NAPA,2153-9588,Annals of Anthropological Practice,3000,2000,2500,,,,,NAPA
AAB,1744-7348,Annals of Applied Biology,3000,2000,2500,,,,,AAB
AHG,1469-1809,Annals of Human Genetics,2900,1933,2417,,,,,AHG
ANA,1531-8249,Annals of Neurology,3300,2200,2750,,,,,ANA
APCE,1467-8292,Annals of Public and Cooperative Economics,2500,1650,2100,,,,,APCE
NYAS,1749-6632,Annals of the New York Academy of Sciences,3900,2800,3350,,,,,NYAS
AEQ,1548-1492,Anthropology & Education Quarterly,3000,2000,2500,,,,,AEQ
ANHU,1548-1409,Anthropology and Humanism,3000,2000,2500,,,,,ANHU
ANOC,1556-3537,Anthropology of Consciousness,3000,2000,2500,,,,,ANOC
AWR,1548-1417,Anthropology of Work Review,3000,2000,2500,,,,,AWR
ANTH,1467-8322,Anthropology Today,3000,2000,2500,,,,,ANTH
ANTI,1467-8330,Antipode,3000,2000,2500,,,,,ANTI
ANS,1445-2197,ANZ Journal of Surgery,3100,2067,2583,,,,,ANS
AORN,1878-0369,AORN Journal,3000,2000,2500,,,,,AORN
APM,1600-0463,APMIS,3600,2400,3000,,,,,APM
ACP,1099-0720,Applied Cognitive Psychology,2500,1667,2083,,,,,ACP
AEPP,2040-5804,Applied Economic Perspectives and Policy,3300,2200,2750,,,,,AEPP
AOC,1099-0739,Applied Organometallic Chemistry,3300,2200,2750,,,,,AOC
APPS,1464-0597,Applied Psychology,3000,2000,2500,,,,,APPS
APHW,1758-0854,Applied Psychology: Health and Well-Being,3000,2000,2500,,,,,APHW
ASMB,1526-4025,Applied Stochastic Models in Business and Industry,3000,2000,2500,,,,,ASMB
AVSC,1654-109X,Applied Vegetation Science,3800,2533,3167,,,,,AVSC
ANU,1365-2095,Aquaculture Nutrition,3500,2333,2917,,,,,ANU
ARE,1365-2109,Aquaculture Research,3800,2550,3150,,,,,ARE
AQC,1099-0755,Aquatic Conservation: Marine and Freshwater Ecosystems,4050,2700,3350,,,,,AQC
AAE,1600-0471,Arabian Archaeology and Epigraphy,2500,1667,2083,,,,,AAE
ARP,1099-0763,Archaeological Prospection,2900,1950,2400,,,,,ARP
ARCO,1834-4453,Archaeology in Oceania,2500,1667,2083,,,,,ARCO
ARCM,1475-4754,Archaeometry,2600,1750,2150,,,,,ARCM
APAA,1551-8248,Archeological Papers of the American Anthropological Association,3000,2000,2500,,,,,APAA
ARDP,1521-4184,Archiv der Pharmazie,3000,2000,2500,,,,,ARDP
ARCH,1520-6327,Archives of Insect Biochemistry and Physiology,3300,2200,2750,,,,,ARCH
AREA,1475-4762,Area,3000,2000,2500,,,,,AREA
AHIS,1467-8365,Art History,3550,2250,3000,,,,,AHIS
ART,2326-5205,Arthritis & Rheumatology,4700,3550,4100,,,,,ART
ACR,2151-4658,Arthritis Care & Research,4400,2933,3667,,,,,ACR
