Journal Code,Journal,Ownership Structure,Current Price (USD),Current Price (GBP),Current Price (EUR),Current Price (USD).1,Current Price (GBP).1,Current Price (EUR).1,APC Change 2021 - 2020 (US $),APC Change 2021 - 2020 (%),Subject / Business Unit,Base Price,Impact Factor Percentile,Impact Factor Percentile (Round),Price Adjustment,Price Check,Is this journal considered to be 'slow' in publication?,Price Adjustment 2,Price Check 2,No. of Open Access Articles,Price Adjustment 3,Price Check 3,Competitor Analysis,Score,Price Adjustment 4,Final Adjustment 5,Maximum/Minimum Price Rule,Price Change,Price Decrease Rule,Price change limit,Limited % Price change,Is this journal considered to be 'Prestigious'?,Price Adjustment Prestigious ,Subscription Revenue per article,Subscription Revenue difference,Price Adjustment Subscription,Corporate Revenue,Price Adjustment Corporate,Final Price (USD),Final Price (GBP),Final Price (EUR),Price Change Final,Percentage Change,% category,Increase/Decrease?,Will price change be implemented?,Inflation Adjusted price,Round Inflation Adjusted Price,Round Inflation Adjusted Price (GBP),Round Inflation Adjusted Price (EUR),Current Gross Revenue,New Gross Revenue,Current Revenue,New Revenue,Current Revenue per article (Discounted),New Revenue per article (discounted),Subject Article Growth,Natural Market Volume Growth,Market Growth Revenue,% Price Change,Price Elasticity,Volume Change,New Volume,New Discounted Revenue ,Revenue Change,u,% Revenue Change,Credit Card Discount Volume Uptake,Remaining Volume,Credit Card Discount Revenue,Revenue per article,Credit Card Revenue,Remaining Revenue,Total Surcharge Revenue,China Revenue,Revenue per article.1,China New Revenue,Revenue change,Min 2%,Difference
2106,Chemkon,N-Society Owned,,,,3000,2300,2500,,,Physical Sci,3500,0.117,0.1,-300,3200,No,0,3200,18,0,3200,No direct competitors,0,3200,3200,3200,200,3200,3264,0.088,No,0,,,,,,3250,2500,2700,250,0.08,6-10%,Increase,Yes,3250,3250,2500,2700,54000,58500,30879.55,43942.5,1715.530556,2441.25,0.1,19.8,33967.505,0.083333333,0,0,19.8,48336.75,17457.2,,0.565332073,8.712,11.088,3200,177.7777778,1548.8,27068.58,28617.38,3150,175,3465,13062.95,1080,-11982.95
2130,Proceedings in Applied Mathematics & Mechanics,O-Proprietary Owned,2500,1667,2083,2500,1667,2083,0,0,Physical Sci,3500,0.243,0.2,-100,3400,No,0,3400,8,0,3400,No direct competitors,0,3400,3400,3400,900,3400,3468,0.3872,No,0,994.6755824,-2405.324418,0,74.98680677,0,3450,2300,2850,950,0.38,36-40%,Increase,Yes,3450,3450,2300,2850,20000,27600,21555,29200,2694.375,3650,0.1,8.8,23710.5,0.38,-0.1,-0.038,8.4656,30899.44,9344.44,,0.433516122,3.724864,4.740736,22200,2775,10336.4976,17303.6864,27640.184,21900,2737.5,23174.58,7645,400,-7245
2084,Structural Concrete,N-Society Owned,2500,1650,2100,3000,2350,2700,500,0.2,Physical Sci,3500,0.254,0.3,100,3600,No,0,3600,14,0,3600,No direct competitors,0,3600,3600,3600,600,3600,3672,0.224,No,0,2403.98443,-1196.01557,0,0,0,3650,2850,3300,650,0.22,21-25%,Increase,Yes,3650,3650,2850,3300,42000,51100,29435.094,42803.13633,2102.506714,3057.366881,0.1,15.4,32378.6034,0.216666667,-0.1,-0.021666667,15.06633333,46063.30855,16628.21455,,0.564911209,6.629186667,8.437146667,10089.48067,720.6771905,4777.503622,25795.45279,30572.95641,9953.136333,710.9383095,10711.23355,13368.04233,840,-12528.04233
2525,Israel Journal of Chemistry,O-Proprietary Owned,3600,2400,3000,3600,2400,3000,0,0,Physical Sci,3500,None,None,-500,3000,No,0,3000,1,-500,2500,No direct competitors,0,2500,2500,2500,-1100,3600,3672,0.02,No,0,2828.569224,-771.4307759,0,0,0,3650,2400,3050,50,0.01,1-2%,Increase,Yes,3650,3650,2450,3050,3600,3650,1625.325,2362.5,1625.325,2362.5,0.1,1.1,1787.8575,0.013888889,0,0,1.1,2598.75,973.425,,0.598910987,0.484,0.616,0,0,0,1455.3,1455.3,0,0,0,737.175,72,-665.175
AAB,Annals of Applied Biology,N-Society Owned,3000,2000,2500,3000,2000,2500,0,0,Life Sci,3250,0.293,0.3,100,3350,No,0,3350,7,0,3350,No direct competitors,0,3350,3350,3350,350,3400,3468,0.156,No,0,1320.996257,-2079.003743,0,526.7018551,0,3450,2300,2900,450,0.15,11-15%,Increase,Yes,3450,3450,2300,2900,21000,24150,23100,23450,3300,3350,0.1,7.7,25410,0.15,0,0,7.7,25795,2695,,0.116666667,3.388,4.312,23800,3400,11519.2,14445.2,25964.4,23450,3350,25795,350,420,70
AAE,Arabian Archaeology and Epigraphy,O-Proprietary Owned,2500,1667,2083,2500,1667,2083,0,0,SSH,2750,None,None,-500,2250,No,0,2250,8,0,2250,No direct competitors,0,2250,2250,2250,-250,2500,2550,0.02,No,0,314.7487879,-2185.251212,0,0,0,2550,1700,2100,50,0.02,1-2%,Increase,Yes,2550,2550,1700,2100,20000,20400,17228.75,19367.5,2153.59375,2420.9375,0.1,8.8,18951.625,0.02,0,0,8.8,21304.25,4075.5,,0.236552275,3.872,4.928,3100,387.5,1500.4,11930.38,13430.78,3050,381.25,3355,2138.75,400,-1738.75
AAH,Journal of Aquatic Animal Health,N-Society Owned,3300,2200,2750,3400,2250,2850,100,0.03030303,Life Sci,3250,None,None,-500,2750,No,0,2750,4,-500,2250,No direct competitors,0,2250,2250,2250,-1150,3400,3468,0.02,No,0,3519.272289,119.2722891,0,0,0,3450,2250,2900,50,0.01,1-2%,Increase,Yes,3450,3450,2300,2900,13600,13800,9928.39037,14526.44574,2482.097593,3631.611435,0.1,4.4,10921.22941,0.014705882,0,0,4.4,15979.09031,6050.699944,,0.60943413,1.936,2.464,11025.43815,2756.359537,5336.312063,8948.290576,14284.60264,10876.44574,2719.111435,11964.09031,4598.05537,272,-4326.05537
AAS,Acta Anaesthesiologica Scandinavica,N-Society Owned,3800,2533,3167,3800,2533,3167,0,0,Health Sci,3250,0.755,0.8,800,4050,No,0,4050,14,0,4050,No direct competitors,0,4050,4050,4050,250,4100,4182,0.100526316,No,0,4353.650578,253.6505783,0,0,0,4200,2800,3500,400,0.11,11-15%,Increase,Yes,4200,4200,2800,3500,53200,58800,33698.394,40880.6531,2407.028143,2920.04665,0.1,15.4,37068.2334,0.105263158,0,0,15.4,44968.71841,11270.32441,,0.33444693,6.776,8.624,18723.12633,1337.366167,9061.993145,25182.48231,34244.47545,18455.6531,1318.260936,20301.21841,7182.2591,1064,-6118.2591
AB,Aggressive Behavior,O-Proprietary Owned,3000,2000,2500,3300,2200,2750,300,0.1,Life Sci,3250,0.364,0.4,300,3550,No,0,3550,0,2500,2500,No direct competitors,0,2500,2500,2500,-800,3300,3366,0.02,No,0,2073.342092,-1226.657908,0,0,0,3350,2250,2800,50,0.02,1-2%,Increase,Yes,3350,3350,2250,2800,0,0,0,0,0,0,0.1,0,0,0.015151515,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAC,Abacus,N-Society Owned,2500,1667,2083,2500,1667,2083,0,0,SSH,2750,None,None,-500,2250,No,0,2250,0,2500,2500,No direct competitors,0,2500,2500,2500,0,2500,2550,0.02,No,0,0,-2500,0,0,0,2550,1700,2100,50,0.02,1-2%,Increase,Yes,2550,2550,1700,2100,0,0,0,0,0,0,0.1,0,0,0.02,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
