Journal Code,Journal,Ownership Structure,Current Price (USD),Current Price (GBP),Current Price (EUR),Current Price (USD).1,Current Price (GBP).1,Current Price (EUR).1,APC Change 2021 - 2020 (US $),APC Change 2021 - 2020 (%),Subject / Business Unit,Base Price,Impact Factor Percentile,Impact Factor Percentile (Round),Price Adjustment,Price Check,Is this journal considered to be 'slow' in publication?,Price Adjustment 2,Price Check 2,No. of Open Access Articles,Price Adjustment 3,Price Check 3,Competitor Analysis,Score,Price Adjustment 4,Final Adjustment 5,Maximum/Minimum Price Rule,Price Change,Price Decrease Rule,Price change limit,Limited % Price change,Is this journal considered to be 'Prestigious'?,Price Adjustment Prestigious ,Subscription Revenue per article,Subscription Revenue difference,Price Adjustment Subscription,Corporate Revenue,Price Adjustment Corporate,Final Price (USD),Final Price (GBP),Final Price (EUR),Price Change Final,Percentage Change,% category,Increase/Decrease?,Will price change be implemented?,Inflation Adjusted price,Round Inflation Adjusted Price,Round Inflation Adjusted Price (GBP),Round Inflation Adjusted Price (EUR),Current Gross Revenue,New Gross Revenue,Current Revenue,New Revenue,Current Revenue per article (Discounted),New Revenue per article (discounted),Subject Article Growth,Natural Market Volume Growth,Market Growth Revenue,% Price Change,Price Elasticity,Volume Change,New Volume,New Discounted Revenue ,Revenue Change,u,% Revenue Change,Credit Card Discount Volume Uptake,Remaining Volume,Credit Card Discount Revenue,Revenue per article,Credit Card Revenue,Remaining Revenue,Total Surcharge Revenue,China Revenue,Revenue per article.1,China New Revenue,Revenue change,Min 2%,Difference
2106,Chemkon,N-Society Owned,,,,3000,2300.0,2500,,,Physical Sci,3500,0.11699999999999999,0.1,-300,3200,No,0,3200,18,0,3200,No direct competitors,0,3200,3200,3200,200,3200,3264,0.088,No,0,,,,,,3250,2500,2700,250,0.08,6-10%,Increase,Yes,3250,3250,2500,2700,54000,58500,30879.55,43942.5,1715.5305555555556,2441.25,0.1,19.8,33967.505000000005,0.08333333333333333,0.0,0.0,19.8,48336.75,17457.2,,0.5653320725204869,8.712,11.088000000000001,3200.0,177.77777777777777,1548.8,27068.58,28617.38,3150.0,175.0,3465.0,13062.95,1080.0,-11982.95
2130,Proceedings in Applied Mathematics & Mechanics,O-Proprietary Owned,2500.0,1667.0,2083.0,2500,1667.0,2083,0.0,0.0,Physical Sci,3500,0.243,0.2,-100,3400,No,0,3400,8,0,3400,No direct competitors,0,3400,3400,3400,900,3400,3468,0.3872,No,0,994.6755823972547,-2405.324417602745,0,74.98680677490195,0,3450,2300,2850,950,0.38,36-40%,Increase,Yes,3450,3450,2300,2850,20000,27600,21555.0,29200.0,2694.375,3650.0,0.1,8.8,23710.500000000004,0.38,-0.1,-0.038000000000000006,8.4656,30899.440000000002,9344.440000000002,,0.43351612154952457,3.724864,4.740736,22200.0,2775.0,10336.4976,17303.6864,27640.184,21900.0,2737.5,23174.58,7645.0,400.0,-7245.0
2084,Structural Concrete,N-Society Owned,2500.0,1650.0,2100.0,3000,2350.0,2700,500.0,0.2,Physical Sci,3500,0.254,0.3,100,3600,No,0,3600,14,0,3600,No direct competitors,0,3600,3600,3600,600,3600,3672,0.224,No,0,2403.9844302999995,-1196.0155697000005,0,0.0,0,3650,2850,3300,650,0.22,21-25%,Increase,Yes,3650,3650,2850,3300,42000,51100,29435.094,42803.136333333336,2102.506714285714,3057.366880952381,0.1,15.400000000000002,32378.603400000004,0.21666666666666667,-0.1,-0.021666666666666667,15.066333333333334,46063.30855072223,16628.214550722227,,0.5649112094128942,6.6291866666666674,8.437146666666667,10089.480666666666,720.6771904761905,4777.503622075556,25795.452788404447,30572.956410480005,9953.136333333334,710.9383095238096,10711.233550722225,13368.042333333335,840.0,-12528.042333333335
2525,Israel Journal of Chemistry,O-Proprietary Owned,3600.0,2400.0,3000.0,3600,2400.0,3000,0.0,0.0,Physical Sci,3500,None,None,-500,3000,No,0,3000,1,-500,2500,No direct competitors,0,2500,2500,2500,-1100,3600,3672,0.02,No,0,2828.569224083333,-771.4307759166668,0,0.0,0,3650,2400,3050,50,0.01,1-2%,Increase,Yes,3650,3650,2450,3050,3600,3650,1625.325,2362.5,1625.325,2362.5,0.1,1.1,1787.8575000000003,0.013888888888888888,0.0,0.0,1.1,2598.75,973.425,,0.5989109870333625,0.48400000000000004,0.6160000000000001,0.0,0.0,0.0,1455.3000000000002,1455.3000000000002,0.0,0.0,0.0,737.175,72.0,-665.175
AAB,Annals of Applied Biology,N-Society Owned,3000.0,2000.0,2500.0,3000,2000.0,2500,0.0,0.0,Life Sci,3250,0.29300000000000004,0.3,100,3350,No,0,3350,7,0,3350,No direct competitors,0,3350,3350,3350,350,3400,3468,0.156,No,0,1320.9962566986114,-2079.0037433013886,0,526.7018550930555,0,3450,2300,2900,450,0.15,11-15%,Increase,Yes,3450,3450,2300,2900,21000,24150,23100.0,23450.0,3300.0,3350.0,0.1,7.700000000000001,25410.000000000004,0.15,0.0,0.0,7.700000000000001,25795.000000000004,2695.0000000000036,,0.11666666666666682,3.3880000000000003,4.312000000000001,23800.0,3400.0,11519.2,14445.200000000004,25964.400000000005,23450.0,3350.0,25795.000000000004,350.0,420.0,70.0
AAE,Arabian Archaeology and Epigraphy,O-Proprietary Owned,2500.0,1667.0,2083.0,2500,1667.0,2083,0.0,0.0,SSH,2750,None,None,-500,2250,No,0,2250,8,0,2250,No direct competitors,0,2250,2250,2250,-250,2500,2550,0.02,No,0,314.74878787878794,-2185.251212121212,0,0.0,0,2550,1700,2100,50,0.02,1-2%,Increase,Yes,2550,2550,1700,2100,20000,20400,17228.75,19367.5,2153.59375,2420.9375,0.1,8.8,18951.625,0.02,0.0,0.0,8.8,21304.25,4075.5,,0.23655227454110136,3.8720000000000003,4.928000000000001,3100.0,387.5,1500.4,11930.380000000003,13430.780000000002,3050.0,381.25,3355.0000000000005,2138.75,400.0,-1738.75
AAH,Journal of Aquatic Animal Health,N-Society Owned,3300.0,2200.0,2750.0,3400,2250.0,2850,100.0,0.030303030303030304,Life Sci,3250,None,None,-500,2750,No,0,2750,4,-500,2250,No direct competitors,0,2250,2250,2250,-1150,3400,3468,0.02,No,0,3519.2722890862074,119.27228908620737,0,0.0,0,3450,2250,2900,50,0.01,1-2%,Increase,Yes,3450,3450,2300,2900,13600,13800,9928.390370000001,14526.4457402,2482.0975925000002,3631.61143505,0.1,4.4,10921.229407000003,0.014705882352941176,0.0,0.0,4.4,15979.090314220002,6050.699944220001,,0.6094341296755439,1.9360000000000002,2.4640000000000004,11025.4381476,2756.3595369,5336.3120634384,8948.290575963201,14284.6026394016,10876.4457402,2719.11143505,11964.090314220002,4598.0553702,272.0,-4326.0553702
AAS,Acta Anaesthesiologica Scandinavica,N-Society Owned,3800.0,2533.0,3167.0,3800,2533.0,3167,0.0,0.0,Health Sci,3250,0.755,0.8,800,4050,No,0,4050,14,0,4050,No direct competitors,0,4050,4050,4050,250,4100,4182,0.10052631578947369,No,0,4353.650578336067,253.65057833606716,0,0.0,0,4200,2800,3500,400,0.11,11-15%,Increase,Yes,4200,4200,2800,3500,53200,58800,33698.394,40880.653099999996,2407.028142857143,2920.0466499999998,0.1,15.400000000000002,37068.233400000005,0.10526315789473684,0.0,0.0,15.400000000000002,44968.71841,11270.324410000001,,0.33444692972608725,6.776000000000001,8.624000000000002,18723.12633333333,1337.3661666666665,9061.993145333332,25182.482309600004,34244.47545493334,18455.6531,1318.2609357142858,20301.218410000005,7182.259099999996,1064.0,-6118.259099999996
AB,Aggressive Behavior,O-Proprietary Owned,3000.0,2000.0,2500.0,3300,2200.0,2750,300.0,0.1,Life Sci,3250,0.364,0.4,300,3550,No,0,3550,0,2500,2500,No direct competitors,0,2500,2500,2500,-800,3300,3366,0.02,No,0,2073.342092456,-1226.657907544,0,0.0,0,3350,2250,2800,50,0.02,1-2%,Increase,Yes,3350,3350,2250,2800,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABAC,Abacus,N-Society Owned,2500.0,1667.0,2083.0,2500,1667.0,2083,0.0,0.0,SSH,2750,None,None,-500,2250,No,0,2250,0,2500,2500,No direct competitors,0,2500,2500,2500,0,2500,2550,0.02,No,0,0.0,-2500.0,0,0.0,0,2550,1700,2100,50,0.02,1-2%,Increase,Yes,2550,2550,1700,2100,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
